 Complete Report
 1 Errors

 5 Warnings

 249 Passed

 Blacklist Test Results
 0 Errors

 0 Warnings

 220 Passed

 Mail Test Results
 1 Errors

 3 Warnings

 14 Passed

 DNS Test Results
 0 Errors

 2 Warnings

 15 Passed

6 Problems
 	Category	Host	Result
DMARC	ev.io	DNS DMARC Record not found.
SMTP	amir.mx.cloudflare.net.	Open relay.
SMTP	amir.mx.cloudflare.net.	Reverse DNS is Not a valid Hostname.
SMTP	amir.mx.cloudflare.net.	Reverse DNS does not match SMTP Banner.
DNS	ev.io	SOA Expire Value is out of recommended range.
DNS	ev.io	SOA Serial Number Format is Invalid.
Blacklist Tests (ev.io)
 	Category	Host	List
Blacklist	ev.io	all.s5h.net
Blacklist	ev.io	b.barracudacentral.org
Blacklist	ev.io	bl.spamcop.net
Blacklist	ev.io	blacklist.woody.ch
Blacklist	ev.io	bogons.cymru.com
Blacklist	ev.io	cbl.abuseat.org
Blacklist	ev.io	cdl.anti-spam.org.cn
Blacklist	ev.io	combined.abuse.ch
Blacklist	ev.io	db.wpbl.info
Blacklist	ev.io	dnsbl-1.uceprotect.net
Blacklist	ev.io	dnsbl-2.uceprotect.net
Blacklist	ev.io	dnsbl-3.uceprotect.net
Blacklist	ev.io	dnsbl.anticaptcha.net
Blacklist	ev.io	dnsbl.dronebl.org
Blacklist	ev.io	dnsbl.inps.de
Blacklist	ev.io	dnsbl.sorbs.net
Blacklist	ev.io	dnsbl.spfbl.net
Blacklist	ev.io	drone.abuse.ch
Blacklist	ev.io	duinv.aupads.org
Blacklist	ev.io	dul.dnsbl.sorbs.net
Blacklist	ev.io	dyna.spamrats.com
Blacklist	ev.io	dynip.rothen.com
Blacklist	ev.io	http.dnsbl.sorbs.net
Blacklist	ev.io	ips.backscatterer.org
Blacklist	ev.io	ix.dnsbl.manitu.net
Blacklist	ev.io	korea.services.net
Blacklist	ev.io	misc.dnsbl.sorbs.net
Blacklist	ev.io	noptr.spamrats.com
Blacklist	ev.io	orvedb.aupads.org
Blacklist	ev.io	pbl.spamhaus.org
Blacklist	ev.io	proxy.bl.gweep.ca
Blacklist	ev.io	psbl.surriel.com
Blacklist	ev.io	relays.bl.gweep.ca
Blacklist	ev.io	relays.nether.net
Blacklist	ev.io	sbl.spamhaus.org
Blacklist	ev.io	short.rbl.jp
Blacklist	ev.io	singular.ttk.pte.hu
Blacklist	ev.io	smtp.dnsbl.sorbs.net
Blacklist	ev.io	socks.dnsbl.sorbs.net
Blacklist	ev.io	spam.abuse.ch
Blacklist	ev.io	spam.dnsbl.anonmails.de
Blacklist	ev.io	spam.dnsbl.sorbs.net
Blacklist	ev.io	spam.spamrats.com
Blacklist	ev.io	spambot.bls.digibase.ca
Blacklist	ev.io	spamrbl.imp.ch
Blacklist	ev.io	spamsources.fabel.dk
Blacklist	ev.io	ubl.lashback.com
Blacklist	ev.io	ubl.unsubscore.com
Blacklist	ev.io	virus.rbl.jp
Blacklist	ev.io	web.dnsbl.sorbs.net
Blacklist	ev.io	wormrbl.imp.ch
Blacklist	ev.io	xbl.spamhaus.org
Blacklist	ev.io	z.mailspike.net
Blacklist	ev.io	zen.spamhaus.org
Blacklist	ev.io	zombie.dnsbl.sorbs.net
Blacklist Tests (amir.mx.cloudflare.net.)
 	Category	Host	List
Blacklist	amir.mx.cloudflare.net.	all.s5h.net
Blacklist	amir.mx.cloudflare.net.	b.barracudacentral.org
Blacklist	amir.mx.cloudflare.net.	bl.spamcop.net
Blacklist	amir.mx.cloudflare.net.	blacklist.woody.ch
Blacklist	amir.mx.cloudflare.net.	bogons.cymru.com
Blacklist	amir.mx.cloudflare.net.	cbl.abuseat.org
Blacklist	amir.mx.cloudflare.net.	cdl.anti-spam.org.cn
Blacklist	amir.mx.cloudflare.net.	combined.abuse.ch
Blacklist	amir.mx.cloudflare.net.	db.wpbl.info
Blacklist	amir.mx.cloudflare.net.	dnsbl-1.uceprotect.net
Blacklist	amir.mx.cloudflare.net.	dnsbl-2.uceprotect.net
Blacklist	amir.mx.cloudflare.net.	dnsbl-3.uceprotect.net
Blacklist	amir.mx.cloudflare.net.	dnsbl.anticaptcha.net
Blacklist	amir.mx.cloudflare.net.	dnsbl.dronebl.org
Blacklist	amir.mx.cloudflare.net.	dnsbl.inps.de
